Date,Open,High,Low,Vol.,Change %
10/20/2020,169.74,172.62,169.74,2.85M,1.29%
10/19/2020,170.88,171.7,168.02,2.13M,-0.25%
10/16/2020,170.76,171.9,169.64,4.07M,-0.11%
10/15/2020,169.7,171.38,168.68,4.02M,0.62%
10/14/2020,168.66,170.5,167.12,5.18M,0.83%
10/13/2020,172.72,173.3,167.8,3.66M,-2.89%
10/12/2020,169.26,173.52,169.0,4.04M,2.40%
10/09/2020,170.44,171.86,167.02,6.07M,-2.90%
10/08/2020,172.32,175.4,172.1,8.43M,1.04%
10/07/2020,173.5,174.36,170.84,5.32M,-0.42%
10/06/2020,173.62,174.78,172.36,3.85M,-0.40%
10/05/2020,173.92,174.76,171.94,3.79M,0.25%
10/02/2020,171.1,174.6,171.0,3.29M,1.13%
10/01/2020,172.6,174.0,171.0,2.36M,-0.28%
09/30/2020,174.54,175.98,171.52,5.15M,-1.71%
09/29/2020,171.6,175.16,171.06,5.55M,1.83%
09/28/2020,168.7,172.0,168.36,5.75M,1.95%
09/25/2020,167.96,169.0,166.54,3.36M,0.63%
09/24/2020,165.52,168.28,163.26,6.08M,1.47%
09/23/2020,167.0,168.86,165.0,6.96M,-0.97%
09/22/2020,165.62,168.1,165.4,4.99M,0.18%
09/21/2020,166.04,167.48,164.72,3.94M,-0.16%
09/18/2020,168.5,168.72,165.42,6.42M,-0.96%
09/17/2020,166.72,168.96,166.1,4.98M,0.66%
09/16/2020,167.5,169.08,165.64,6.59M,-1.05%
09/15/2020,167.4,169.44,165.96,5.75M,1.43%
09/14/2020,164.0,167.1,162.84,6.43M,2.22%
09/11/2020,160.3,164.66,159.02,6.34M,1.58%
09/10/2020,159.34,161.96,156.88,9.76M,0.36%
09/09/2020,158.52,160.56,158.1,7.42M,0.55%
09/08/2020,160.02,161.0,158.52,6.40M,-0.76%
09/07/2020,161.8,162.48,159.44,3.78M,-1.42%
09/04/2020,161.5,162.94,160.22,4.47M,0.36%
09/03/2020,161.26,163.74,161.06,6.57M,0.01%
09/02/2020,161.22,163.38,160.48,10.43M,0.38%
09/01/2020,155.5,161.76,152.4,9.15M,4.40%
08/31/2020,156.4,157.64,154.08,8.71M,-1.04%
08/28/2020,159.66,159.66,155.38,6.00M,-1.71%
08/27/2020,159.84,160.94,157.54,6.37M,-0.61%
08/26/2020,160.74,161.3,158.82,4.47M,-0.51%
08/25/2020,160.22,160.94,159.28,4.38M,0.27%
08/24/2020,160.04,161.98,159.32,3.79M,0.16%
08/21/2020,161.18,161.34,158.08,4.33M,-0.65%
08/20/2020,159.86,161.86,159.08,4.11M,0.40%
08/19/2020,160.12,162.18,159.34,4.36M,0.40%
08/18/2020,159.98,161.78,158.76,6.06M,-0.01%
08/17/2020,161.34,161.86,157.72,6.12M,-0.49%
08/14/2020,160.26,160.48,158.92,4.80M,0.45%
08/13/2020,163.24,166.98,159.28,7.67M,-1.98%
08/12/2020,157.52,163.04,157.26,7.57M,3.19%
08/11/2020,154.6,159.84,153.84,8.74M,2.29%
08/10/2020,149.22,154.74,149.22,8.52M,3.28%
08/07/2020,149.22,149.82,146.52,5.09M,0.23%
08/06/2020,148.7,150.5,147.72,7.02M,0.31%
08/05/2020,149.54,149.68,148.08,7.06M,-0.27%
08/04/2020,145.0,149.62,144.52,9.94M,3.06%
08/03/2020,145.52,146.8,144.52,3.50M,-0.71%
07/31/2020,145.88,146.0,142.58,5.84M,0.30%
07/30/2020,147.16,147.36,142.78,7.32M,-1.20%
07/29/2020,146.52,147.84,144.5,5.40M,0.12%
07/28/2020,145.88,149.2,145.38,6.69M,0.80%
07/27/2020,144.46,145.98,143.46,6.03M,1.29%
07/24/2020,141.0,144.5,140.22,6.15M,1.54%
07/23/2020,141.54,143.9,140.84,4.54M,0.34%
07/22/2020,139.96,142.08,139.18,5.07M,1.13%
07/21/2020,138.5,141.28,138.2,3.72M,0.81%
07/20/2020,137.06,139.26,136.68,2.27M,0.54%
07/17/2020,138.3,138.92,136.94,1.69M,-0.40%
07/16/2020,137.86,138.96,136.6,2.13M,-0.30%
07/15/2020,137.16,139.26,136.68,3.52M,1.18%
07/14/2020,135.5,137.9,133.4,4.77M,1.08%
07/13/2020,135.68,138.2,135.0,3.13M,0.00%
07/10/2020,136.72,136.86,134.36,5.81M,-3.27%
07/09/2020,142.44,142.82,138.92,5.68M,-1.79%
07/08/2020,142.94,143.46,141.78,2.87M,-0.36%
07/07/2020,144.94,144.94,143.02,4.34M,-0.47%
07/06/2020,144.04,144.98,143.32,3.33M,0.54%
07/03/2020,141.28,143.82,140.62,4.02M,1.49%
07/02/2020,141.1,141.4,140.1,3.01M,0.16%
06/30/2020,139.44,141.46,138.86,5.72M,1.34%
06/29/2020,136.9,139.32,136.86,3.09M,1.27%
06/26/2020,138.4,138.96,136.78,2.46M,-0.77%
06/25/2020,138.06,138.38,136.5,4.51M,-0.40%
06/23/2020,138.4,140.14,138.02,3.65M,0.42%
06/22/2020,138.6,138.86,136.34,4.57M,-0.39%
06/19/2020,138.42,139.6,138.02,7.76M,0.75%
06/18/2020,136.6,139.0,136.16,9.26M,0.39%
06/17/2020,134.66,137.72,134.16,8.37M,2.94%
06/16/2020,132.36,134.9,132.36,7.94M,1.41%
06/15/2020,134.22,134.5,130.92,7.93M,-3.02%
06/11/2020,137.3,137.46,134.82,3.77M,-2.21%
06/10/2020,137.0,139.3,136.12,5.57M,1.21%
06/09/2020,138.02,138.78,135.92,6.29M,-0.42%
06/08/2020,139.88,140.0,137.1,6.72M,-3.11%
06/05/2020,138.88,144.16,138.22,8.86M,2.26%
06/04/2020,140.38,140.88,136.72,10.96M,-0.73%
06/03/2020,138.48,140.74,137.68,6.40M,1.24%
06/02/2020,137.4,138.24,136.36,5.62M,0.32%
06/01/2020,138.3,139.0,136.8,4.50M,-0.03%
05/29/2020,139.16,139.16,134.72,16.49M,-0.75%
05/28/2020,137.96,139.26,135.94,7.79M,2.28%
05/27/2020,134.02,138.26,134.02,9.71M,1.27%
05/26/2020,132.9,136.44,132.2,13.40M,1.36%
05/25/2020,128.5,132.48,128.44,5.99M,3.06%
05/22/2020,125.02,128.36,124.32,7.15M,2.05%
05/21/2020,128.02,129.28,125.06,5.39M,-1.87%
05/20/2020,125.02,128.6,124.4,8.55M,2.46%
05/19/2020,124.04,126.26,123.2,8.99M,0.30%
05/18/2020,119.98,124.64,119.5,8.60M,5.27%
05/15/2020,118.32,120.22,117.52,5.23M,0.95%
05/14/2020,118.1,118.92,116.02,7.33M,-0.81%
05/13/2020,122.02,122.12,118.24,5.56M,-3.16%
05/12/2020,124.3,124.48,122.1,7.64M,-2.32%
05/08/2020,125.22,125.58,123.92,3.77M,0.08%
05/07/2020,124.5,126.58,124.12,5.00M,0.68%
05/06/2020,125.8,126.1,124.06,4.44M,-0.82%
05/05/2020,125.98,126.4,124.7,3.25M,0.22%
05/04/2020,127.68,127.68,123.9,5.36M,-2.76%
04/30/2020,127.64,128.4,125.94,6.84M,0.98%
04/29/2020,126.02,128.3,125.08,5.29M,1.19%
04/28/2020,123.0,126.46,122.4,8.69M,1.98%
04/27/2020,124.72,125.88,123.16,6.45M,-1.35%
04/24/2020,127.58,127.58,124.4,9.87M,-2.06%
04/23/2020,126.3,128.34,125.4,6.06M,1.56%
04/22/2020,124.44,127.48,124.44,8.74M,0.50%
04/21/2020,126.0,126.36,124.3,10.86M,-2.05%
04/20/2020,125.58,128.36,125.56,6.81M,1.11%
04/17/2020,127.3,127.98,125.52,5.66M,0.48%
04/16/2020,125.66,127.48,124.58,7.91M,0.14%
04/15/2020,128.04,128.9,124.2,6.70M,-2.88%
